epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.7227,1.0378,4.23027,1.45139,0.49816,0.16153,0.12033,0.08418,1.10247,3.10769,1.37078,5.78776e-05,5.78776e-05,5.78776e-05
2,94.4147,0.95339,3.13392,1.35774,0.48617,0.18484,0.16651,0.12247,1.11311,2.82267,1.42103,0.00011506,0.00011506,0.00011506
3,141.342,0.97743,2.8336,1.3643,0.50765,0.20868,0.23462,0.17742,1.08607,2.60814,1.38295,0.000171088,0.000171088,0.000171088
4,189.036,0.95345,2.64374,1.33067,0.41738,0.24646,0.2423,0.1827,1.1489,2.59292,1.45434,0.000169802,0.000169802,0.000169802
5,241.961,0.9782,2.49411,1.35287,0.43411,0.32211,0.27745,0.20882,1.10142,2.33881,1.43959,0.00016807,0.00016807,0.00016807
6,288.325,0.94973,2.28639,1.33788,0.37533,0.24508,0.24356,0.18081,1.14973,2.67353,1.43969,0.000166337,0.000166337,0.000166337
7,334.433,0.91331,2.15068,1.28712,0.44923,0.22038,0.24397,0.18561,1.07729,2.59861,1.3806,0.000164605,0.000164605,0.000164605
8,382.679,0.92212,2.05933,1.32358,0.57967,0.22549,0.29164,0.20827,1.22958,2.33061,1.48558,0.000162873,0.000162873,0.000162873
9,429.31,0.87817,1.98104,1.28891,0.48812,0.25261,0.28296,0.2114,1.1379,2.31317,1.39203,0.00016114,0.00016114,0.00016114
10,476.56,0.86812,1.84724,1.2618,0.47234,0.25376,0.26733,0.20072,1.01198,2.38434,1.32315,0.000159408,0.000159408,0.000159408
11,522.865,0.86838,1.76624,1.27365,0.33009,0.27384,0.29457,0.23189,1.09312,2.27759,1.4094,0.000157675,0.000157675,0.000157675
12,569.394,0.84047,1.67777,1.23109,0.5063,0.25021,0.29137,0.22355,1.07668,2.29196,1.40322,0.000155942,0.000155942,0.000155942
13,615.658,0.83451,1.6572,1.23779,0.38812,0.31949,0.30433,0.23749,1.01772,2.2482,1.34806,0.00015421,0.00015421,0.00015421
